num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_7;Está em cics8
127;cics_4;habilita;84795000;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo.;TICs;0;0;2;1
128;cics_4;habilita;84798999;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo.;Sistemas Fotovoltaicos;0;0;2;1
129;cics_4;habilita;84799090;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Máquinas e aparelhos mecânicos com função própria, não especificados nem compreendidos noutras posições deste Capítulo.;TICs;0;0;2;1
1;cics_4;habilita;85013120;CFI-A; 10 ;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;0;2;2
2;cics_4;habilita;85013220;CFI-A; 10 ;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;1;2;2
3;cics_4;habilita;85013320;CFI-A; 10 ;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;1;2;2
4;cics_4;habilita;85013420;CFI-A; 10 ;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;1;2;2
5;cics_4;habilita;85018000;CFI-A; 10 ;;;;Motores e geradores, elétricos, exceto os grupos eletrogêneos.;Sistemas Fotovoltaicos;0;1;2;2
130;cics_4;habilita;85044010;CFI; 10 ;;;;Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.;Ônibus;0;1;2;2
6;cics_4;habilita;85044090;CFI; 10 ;;;;Transformadores elétricos, conversores elétricos estáticos (retificadores, por exemplo), bobinas de reatância e de autoindução.;Sistemas Fotovoltaicos;1;1;2;2
131;cics_4;habilita;85076000;CFI; 10 ;;;Removidos da próxima resolução (nº7), sem prejuízos.;Acumuladores elétricos e seus separadores, mesmo de forma quadrada ou retangular.;Ônibus;0;1;1;2
132;cics_4;habilita;85118030;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;1;1;2;2
133;cics_4;habilita;85123000;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 85.39), limpadores de para-brisas, degeladores e desembaçadores elétricos, do tipo utilizado em ciclos ou automóveis.;TICs;0;0;2;2
134;cics_4;habilita;85284200;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Monitores e projetores, que não incorporem aparelho receptor de televisão; aparelhos receptores de televisão, mesmo que incorporem um aparelho receptor de radiodifusão ou um aparelho de gravação ou de reprodução de som ou de imagens.";TICs;0;0;2;2
135;cics_4;habilita;85285200;CFI ou PPB; 10 ;portaria DesIn; 10 ;;"Monitores e projetores, que não incorporem aparelho receptor de televisão; aparelhos receptores de televisão, mesmo que incorporem um aparelho receptor de radiodifusão ou um aparelho de gravação ou de reprodução de som ou de imagens.";TICs;0;0;2;2
136;cics_4;habilita;85301010;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
137;cics_4;habilita;85308010;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
138;cics_4;habilita;85322310;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Condensadores elétricos, fixos, variáveis ou ajustáveis.;TICs;0;0;2;2
139;cics_4;habilita;85322410;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Condensadores elétricos, fixos, variáveis ou ajustáveis.;TICs;0;0;2;2
140;cics_4;habilita;85322510;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Condensadores elétricos, fixos, variáveis ou ajustáveis.;TICs;0;0;2;2
141;cics_4;habilita;85322910;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Condensadores elétricos, fixos, variáveis ou ajustáveis.;TICs;0;0;2;2
142;cics_4;habilita;85323010;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Condensadores elétricos, fixos, variáveis ou ajustáveis.;TICs;0;0;2;4
143;cics_4;habilita;85332120;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Resistências elétricas (incluindo os reostatos e os potenciômetros), exceto de aquecimento.;TICs;0;0;2;2
7;cics_4;habilita;85354090;CFI; 10 ;;;;#VALOR!;Sistemas Fotovoltaicos;0;0;2;2
8;cics_4;habilita;85363090;CFI; 10 ;;;;#VALOR!;Sistemas Fotovoltaicos;0;1;2;2
144;cics_4;habilita;85369030;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;1;2;2
145;cics_4;habilita;85369040;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
146;cics_4;habilita;85371020;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
147;cics_4;habilita;85371030;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;2
9;cics_4;habilita;85371090;CFI; 10 ;;;Aparece duas vezes na Resolução.;#VALOR!;Sistemas Fotovoltaicos;0;0;4;2
10;cics_4;habilita;85371090;CFI ou PPB; 10 ;portaria DesIn; 10 ;Aparece duas vezes na Resolução.;#VALOR!;Sistemas Fotovoltaicos;0;1;4;2
11;cics_4;habilita;85372090;CFI; 10 ;;;;#VALOR!;Sistemas Fotovoltaicos;0;1;2;2
148;cics_4;habilita;85389010;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 85.35, 85.36 ou 85.37.;TICs;0;1;2;2
12;cics_4;habilita;85414300;CFI; 10 ;;;;#VALOR!;Sistemas Fotovoltaicos;0;0;2;2
149;cics_4;habilita;86071110;CFI; 10 ;;;;Partes de veículos para vias férreas ou semelhantes.;Sistemas Metroferroviários;0;1;2;2
